Date,S&P 500,Gold,Oil,NASDAQ
2019-01-02,46.540000915527344,1281.0,2510.030029296875,6665.93994140625
2019-01-03,47.09000015258789,1291.800048828125,2447.889892578125,6463.5
2019-01-04,47.959999084472656,1282.699951171875,2531.93994140625,6738.85986328125
2019-01-07,48.52000045776367,1286.800048828125,2549.68994140625,6823.47021484375
2019-01-08,49.779998779296875,1283.199951171875,2574.409912109375,6897.0
2019-01-09,52.36000061035156,1289.300048828125,2584.9599609375,6957.080078125
2019-01-10,52.59000015258789,1284.699951171875,2596.639892578125,6986.06982421875
2019-01-11,51.59000015258789,1287.0999755859375,2596.260009765625,6971.47998046875
2019-01-14,50.5099983215332,1289.0999755859375,2582.610107421875,6905.919921875
2019-01-15,52.11000061035156,1286.199951171875,2610.300048828125,7023.830078125
2019-01-16,52.310001373291016,1291.5999755859375,2616.10009765625,7034.68994140625
2019-01-17,52.06999969482422,1291.0,2635.9599609375,7084.4599609375
2019-01-18,53.79999923706055,1281.300048828125,2670.7099609375,7157.22998046875
2019-01-22,52.56999969482422,1282.5,2632.89990234375,7020.35986328125
2019-01-23,52.619998931884766,1283.0999755859375,2638.699951171875,7025.77001953125
2019-01-24,53.130001068115234,1279.0999755859375,2642.330078125,7073.4599609375
2019-01-25,53.689998626708984,1297.4000244140625,2664.760009765625,7164.85986328125
2019-01-28,51.9900016784668,1302.4000244140625,2643.85009765625,7085.68017578125
2019-01-29,53.310001373291016,1308.199951171875,2640.0,7028.2900390625
2019-01-30,54.22999954223633,1309.9000244140625,2681.050048828125,7183.080078125
2019-01-31,53.790000915527344,1319.699951171875,2704.10009765625,7281.740234375
2019-02-01,55.2599983215332,1316.9000244140625,2706.530029296875,7263.8701171875
2019-02-04,54.560001373291016,1314.300048828125,2724.8701171875,7347.5400390625
2019-02-05,53.65999984741211,1314.199951171875,2737.699951171875,7402.080078125
2019-02-06,54.0099983215332,1309.5,2731.610107421875,7375.27978515625
2019-02-07,52.63999938964844,1309.4000244140625,2706.050048828125,7288.35009765625
2019-02-08,52.720001220703125,1313.699951171875,2707.8798828125,7298.2001953125
2019-02-11,52.40999984741211,1307.0,2709.800048828125,7307.89990234375
2019-02-12,53.099998474121094,1309.199951171875,2744.72998046875,7414.6201171875
2019-02-13,53.900001525878906,1310.800048828125,2753.030029296875,7420.3798828125
2019-02-14,54.40999984741211,1309.800048828125,2745.72998046875,7426.9501953125
2019-02-15,55.59000015258789,1318.0999755859375,2775.60009765625,7472.41015625
2019-02-19,56.09000015258789,1340.0999755859375,2779.760009765625,7486.77001953125
2019-02-20,56.91999816894531,1343.300048828125,2784.699951171875,7489.06982421875
2019-02-21,56.959999084472656,1323.5,2774.8798828125,7459.7099609375
2019-02-22,57.2599983215332,1329.199951171875,2792.669921875,7527.5400390625
2019-02-25,55.47999954223633,1325.9000244140625,2796.110107421875,7554.4599609375
2019-02-26,55.5,1325.0999755859375,2793.89990234375,7549.2998046875
2019-02-27,56.939998626708984,1317.699951171875,2792.3798828125,7554.509765625
2019-02-28,57.220001220703125,1312.800048828125,2784.489990234375,7532.52978515625
2019-03-01,55.79999923706055,1296.4000244140625,2803.68994140625,7595.35009765625
2019-03-04,56.59000015258789,1284.800048828125,2792.81005859375,7577.56982421875
2019-03-05,56.560001373291016,1282.0,2789.64990234375,7576.35986328125
2019-03-06,56.220001220703125,1284.9000244140625,2771.449951171875,7505.919921875
2019-03-07,56.65999984741211,1283.800048828125,2748.929931640625,7421.4599609375
2019-03-08,56.06999969482422,1297.0,2743.070068359375,7408.14013671875
2019-03-11,56.790000915527344,1288.800048828125,2783.300048828125,7558.06005859375
2019-03-12,56.869998931884766,1296.300048828125,2791.52001953125,7591.02978515625
2019-03-13,58.2599983215332,1307.5,2810.919921875,7643.41015625
2019-03-14,58.61000061035156,1293.4000244140625,2808.47998046875,7630.91015625
2019-03-15,58.52000045776367,1301.800048828125,2822.47998046875,7688.52978515625
2019-03-18,59.09000015258789,1300.300048828125,2832.93994140625,7714.47998046875
2019-03-19,59.029998779296875,1305.0,2832.570068359375,7723.9501953125
2019-03-20,59.83000183105469,1300.5,2824.22998046875,7728.97021484375
2019-03-21,59.97999954223633,1306.0999755859375,2854.8798828125,7838.9599609375
2019-03-22,59.040000915527344,1311.5999755859375,2800.7099609375,7642.669921875
2019-03-25,58.81999969482422,1321.9000244140625,2798.360107421875,7637.5400390625
2019-03-26,59.939998626708984,1314.300048828125,2818.4599609375,7691.52001953125
2019-03-27,59.40999984741211,1309.9000244140625,2805.3701171875,7643.3798828125
2019-03-28,59.29999923706055,1289.800048828125,2815.43994140625,7669.169921875
2019-03-29,60.13999938964844,1293.0,2834.39990234375,7729.31982421875
2019-04-01,61.59000015258789,1288.4000244140625,2867.18994140625,7828.91015625
2019-04-02,62.58000183105469,1290.0,2867.239990234375,7848.68994140625
2019-04-03,62.459999084472656,1289.9000244140625,2873.39990234375,7895.5498046875
2019-04-04,62.099998474121094,1289.0,2879.389892578125,7891.77978515625
2019-04-05,63.08000183105469,1290.4000244140625,2892.739990234375,7938.68994140625
2019-04-08,64.4000015258789,1297.0999755859375,2895.77001953125,7953.8798828125
2019-04-09,63.97999954223633,1303.5,2878.199951171875,7909.27978515625
2019-04-10,64.61000061035156,1309.0999755859375,2888.2099609375,7964.240234375
2019-04-11,63.58000183105469,1288.5999755859375,2888.320068359375,7947.35986328125
2019-04-12,63.88999938964844,1290.5999755859375,2907.409912109375,7984.16015625
2019-04-15,63.400001525878906,1286.800048828125,2905.580078125,7976.009765625
2019-04-16,64.05000305175781,1272.5999755859375,2907.06005859375,8000.22998046875
2019-04-17,63.7599983215332,1272.199951171875,2900.449951171875,7996.080078125
